PATIENT_ID,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,MIDDLE,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,FIPS,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE,INCOME,SYNTHEA_CITY
1229704,2000-05-01,,999-21-3281,S99940375,X61480641X,Mr.,Clark,,Ledner,,,,asian,nonhispanic,M,Hialeah  Florida  US,261 Mante Center Apt 59,Tampa,Florida,Hillsborough County,12057,33606,27.96957087069221,-82.55266885209313,72157.24,14851.4,64200,TAMPA
1229705,2021-06-26,,999-39-7322,,,,Pamelia,Roselia,Roberts,,,,white,hispanic,F,University  Florida  US,153 Gottlieb Viaduct Suite 0,Tampa,Florida,Hillsborough County,12057,33629,28.06824851688464,-82.42489566423316,19147.46,11747.92,94233,TAMPA
1229706,2009-06-07,,999-97-6615,,,,Rogelio,Columbus,Veum,,,,white,nonhispanic,M,St. Petersburg  Florida  US,858 Jenkins Gateway Apt 1,Tampa,Florida,Hillsborough County,12057,33614,27.9490956064397,-82.39789540467207,3297.78,78032.75,1192,TAMPA
1229707,2007-05-08,,999-43-4785,S99918077,,,Olin,Jordon,Bartoletti,,,,white,nonhispanic,M,Altamonte Springs  Florida  US,729 Lockman Port,Tampa,Florida,Hillsborough County,12057,33634,28.04802805417477,-82.46218284788199,3170.89,81532.22,7741,TAMPA
1229708,2013-03-21,,999-40-5884,,,,Leopoldo,Roderick,King,,,,white,nonhispanic,M,Panama City Beach  Florida  US,537 Jacobi View,Tampa,Florida,Hillsborough County,12057,33637,27.946350163543926,-82.45086268969779,16502.78,64770.04,27584,TAMPA
1229709,1973-08-24,,999-83-2854,S99973283,X65718534X,Mr.,Eric,Johnnie,D'Amore,,,D,white,nonhispanic,M,Seminole Manor  Florida  US,814 Rutherford Gateway Suite 66,Tampa,Florida,Hillsborough County,12057,33613,28.071586782135512,-82.40635653210252,94125.23,129880.93,5900,TAMPA
1229710,1996-03-25,,999-34-3444,S99971014,X81126174X,Mrs.,Hyacinth,Keshia,Bartell,,Balistreri,M,asian,nonhispanic,F,Mumbai  Maharashtra  IN,702 Gottlieb Rest Unit 30,Tampa,Florida,Hillsborough County,12057,33615,28.07362036191381,-82.45824181083405,163920.8,519932.36,19304,TAMPA
1229711,2005-10-26,,999-83-9460,S99970690,,Ms.,Amina,Sherron,Skiles,,,,black,nonhispanic,F,Weston  Florida  US,494 Lehner Highlands Unit 56,Tampa,Florida,Hillsborough County,12057,33635,27.87665574988063,-82.47951911173492,117361.84,927975.14,25368,TAMPA
1229712,1935-01-24,,999-50-1204,S99932189,X26058482X,Mrs.,Emilia,Irene,Nájera,,Gamez,W,white,hispanic,F,Panama City  Panama  PA,339 Corkery Glen,Tampa,Florida,Hillsborough County,12057,33602,28.17136600986748,-82.31052527626487,1386334.57,132479.98,43437,TAMPA
1229713,1983-02-05,,999-56-1882,S99947118,X84546427X,Mr.,Joaquin,Jerome,Ratke,,,M,black,hispanic,M,The Acreage  Florida  US,349 Bogisich Way Suite 37,Tampa,Florida,Hillsborough County,12057,33609,27.90150558378997,-82.45792108375883,327667.82,0.0,93908,TAMPA
1229714,1984-01-22,,999-47-1807,S99977838,X72936243X,Mrs.,Abby,Kenda,Tromp,,Langosh,M,black,nonhispanic,F,Jacksonville  Florida  US,147 Sauer Dam,Tampa,Florida,Hillsborough County,12057,33605,27.933550304050232,-82.535239974808,560578.13,525180.17,44302,TAMPA
1229715,1955-07-31,2024-08-03,999-92-1119,S99948217,X48256555X,Mr.,Collin,Terry,Howe,,,W,other,nonhispanic,M,Clearwater  Florida  US,911 Gusikowski Track Apt 66,Tampa,Florida,Hillsborough County,12057,33637,27.985770415564392,-82.49852675456795,784646.0,599856.26,6217,TAMPA
1229716,1983-07-30,,999-70-8485,S99973091,X30934804X,Mr.,Marion,Mckinley,Langworth,,,S,black,nonhispanic,M,Hialeah  Florida  US,333 Cruickshank Lock Unit 19,Tampa,Florida,Hillsborough County,12057,33603,28.07988549809472,-82.52850106255424,232519.85,576275.17,55789,TAMPA
1229717,1964-03-26,,999-17-9416,S99968534,X49123094X,Mr.,Issac,,Jakubowski,MD,,M,white,nonhispanic,M,Pompano Beach  Florida  US,891 Gleichner Street Apt 55,Tampa,Florida,Hillsborough County,12057,33602,27.967130933046818,-82.42507547157574,308285.96,339940.85,126353,TAMPA
1229718,2021-12-22,,999-91-7771,,,,Francisco,Juan,Mendoza,,,,white,hispanic,M,San Jose  San Jose  CR,398 Gorczany Dam,Tampa,Florida,Hillsborough County,12057,33621,28.007688589955876,-82.44313114108965,5953.71,6379.18,69726,TAMPA
1229719,1974-08-26,,999-37-5033,S99995879,X35819268X,Ms.,Margart,Christina,VonRueden,PhD,,S,white,nonhispanic,F,Braga  Minho  PT,637 Paucek Club,Tampa,Florida,Hillsborough County,12057,33616,27.902915884218665,-82.46877407545409,1243324.96,573160.28,38180,TAMPA
1229720,1966-11-10,,999-86-2923,S99968045,X36615252X,Mr.,Warren,Brendan,Tremblay,,,M,white,nonhispanic,M,Melbourne  Florida  US,725 Schmeler Meadow Suite 35,Tampa,Florida,Hillsborough County,12057,33605,27.953221906270745,-82.46837290301994,238853.23,260554.65,121589,TAMPA
1229721,1965-05-29,,999-77-7884,S99944872,X68279837X,Ms.,Petronila,Ashlea,Huels,,,S,white,nonhispanic,F,Port St. Lucie  Florida  US,701 Mertz Path Suite 69,Tampa,Florida,Hillsborough County,12057,33612,27.976598838922595,-82.53424432201291,1171959.13,162651.63,88724,TAMPA
1229722,2000-03-26,,999-19-2947,S99938337,X37799517X,Ms.,Karolyn,,Larson,,,,white,nonhispanic,F,Crystal River  Florida  US,756 Hilpert Key Unit 67,Tampa,Florida,Hillsborough County,12057,33607,27.978087956114212,-82.5557838350151,509463.84,0.0,64178,TAMPA
1229723,1973-02-21,,999-45-9785,S99934579,X61800280X,Ms.,Sheridan,Stacy,Zemlak,,,S,white,nonhispanic,F,Hollywood  Florida  US,730 Bechtelar Byway,Tampa,Florida,Hillsborough County,12057,33604,27.948331090202394,-82.46213079066516,1253663.84,0.0,70679,TAMPA
1229724,2007-12-12,,999-31-4492,S99913223,,,Perry,Nestor,Walter,,,,white,hispanic,M,Country Club  Florida  US,208 Stamm Fork,Tampa,Florida,Hillsborough County,12057,33613,28.00722379253217,-82.47054499708949,3280.13,71450.29,20490,TAMPA
1229725,1985-11-15,,999-67-2801,S99921729,X19396490X,Mr.,Carter,Justin,Gerhold,,,D,white,nonhispanic,M,Northdale  Florida  US,686 Kirlin Mill,Tampa,Florida,Hillsborough County,12057,33618,27.968536964014632,-82.58848224040172,91658.03,29985.04,163378,TAMPA
1229726,1995-07-19,,999-94-1100,S99971238,X34701976X,Mr.,Geoffrey,Wilton,Mayer,,,M,white,nonhispanic,M,Edgewater  Florida  US,808 Homenick Key Apt 84,Tampa,Florida,Hillsborough County,12057,33634,28.08261209370999,-82.4606786401989,1050315.01,0.0,37258,TAMPA
1229727,1948-06-10,2023-04-24,999-34-8242,S99921732,X30143980X,Mr.,Willy,Judson,Prohaska,,,M,asian,hispanic,M,Spring Ridge  Florida  US,1013 Kreiger Ferry,Tampa,Florida,Hillsborough County,12057,33621,28.002822057072216,-82.5308094396803,209760.81,599419.55,613620,TAMPA
1229728,1991-08-18,,999-98-9678,S99934255,X55563598X,Mr.,Glen,John,Schmeler,,,M,white,nonhispanic,M,Orlando  Florida  US,730 Lesch Overpass,Tampa,Florida,Hillsborough County,12057,33611,27.983449447815563,-82.65630228753918,172139.93,0.0,116069,TAMPA
1229729,1966-10-02,,999-38-4369,S99936650,X71879678X,Mr.,Boyce,Bertram,Cruickshank,,,M,white,hispanic,M,Pembroke Pines  Florida  US,635 Russel Forge Suite 77,Tampa,Florida,Hillsborough County,12057,33619,28.057331852116103,-82.62677281154117,85971.81,165812.69,9998,TAMPA
1229730,2000-08-16,,999-86-7113,S99967742,X17202397X,Ms.,Delila,Vanessa,Powlowski,,,,white,nonhispanic,F,Tampa  Florida  US,349 Mayer Mission Unit 66,Tampa,Florida,Hillsborough County,12057,33634,27.95527676663171,-82.51140291719572,103943.25,258113.01,39663,TAMPA
1229731,2016-03-16,,999-66-5158,,,,Vicente,Alfonzo,Donnelly,,,,white,hispanic,M,Jacksonville  Florida  US,157 Stoltenberg Mission Unit 4,Tampa,Florida,Hillsborough County,12057,33604,27.896119628855907,-82.39582559638957,55806.68,0.0,72385,TAMPA
1229732,1967-11-01,,999-92-2580,S99961404,X72490161X,Ms.,Mirian,,Koss,,,S,white,nonhispanic,F,Westchester  Florida  US,196 Mraz Trailer,Tampa,Florida,Hillsborough County,12057,33604,28.004671452095696,-82.39027738606141,332399.64,2103899.01,23061,TAMPA
1229733,2007-06-30,,999-10-9471,S99925775,,,Matthew,Bobby,Parisian,,,,white,nonhispanic,M,Boca Raton  Florida  US,123 Sporer Bridge,Tampa,Florida,Hillsborough County,12057,33602,27.980375922269392,-82.5137090578768,66233.93,24292.52,69280,TAMPA
1229734,1955-07-31,,999-27-3071,S99962533,X89631998X,Mr.,Rupert,Joey,Miller,,,W,other,nonhispanic,M,Tallahassee  Florida  US,1011 Cronin Light,Tampa,Florida,Hillsborough County,12057,33647,28.13683451420696,-82.3906241632912,233828.4,392545.07,6217,TAMPA
1229735,1965-01-07,,999-72-3092,S99958163,X87716562X,Mrs.,Carlota,Guillermina,Campos,,Roque,M,black,hispanic,F,La Paz  Baja California  MX,113 Heaney Center,Tampa,Florida,Hillsborough County,12057,33609,27.91298413402141,-82.47449809871962,283903.05,780795.96,11768,TAMPA
1229736,1972-10-25,,999-89-4838,S99994223,X30973613X,Mrs.,Lenore,,Schowalter,,Hudson,M,white,nonhispanic,F,Lakeland  Florida  US,688 Collins Avenue,Tampa,Florida,Hillsborough County,12057,33619,28.00227513401782,-82.38993968774332,774595.55,1243964.55,14780,TAMPA
1229737,1970-09-04,,999-40-3854,S99969916,X18412011X,Mr.,Joaquín,Jerónimo,Araña,,,S,black,hispanic,M,San Jose  San Jose  CR,220 McLaughlin Brook Apt 80,Tampa,Florida,Hillsborough County,12057,33617,28.06994392919968,-82.35705440015352,211099.0,826840.79,121707,TAMPA
1229738,2023-07-02,,999-51-3131,,,,Daina,,Lynch,,,,white,nonhispanic,F,Vero Beach South  Florida  US,323 Boyer Divide,Tampa,Florida,Hillsborough County,12057,33629,27.99462070461916,-82.34347019729,3090.61,1924.18,73596,TAMPA
1229739,1988-07-02,,999-85-8485,S99978985,X43068916X,Mr.,Julio César,,Covarrubias,,,D,black,nonhispanic,M,Guatemala City  Guatemala  GT,517 Littel Tunnel,Tampa,Florida,Hillsborough County,12057,33635,27.88031754757192,-82.46715657343196,111355.94,62495.87,30926,TAMPA
1229740,2020-12-19,,999-12-6431,,,,Candis,Melani,Jaskolski,,,,asian,hispanic,F,Coral Gables  Florida  US,1097 Goodwin Vista,Tampa,Florida,Hillsborough County,12057,33612,27.99887140076975,-82.58084715184975,10131.66,6279.47,51131,TAMPA
1229741,1964-12-19,1966-06-05,999-31-7336,,,,Amanda,Lorinda,Quigley,,,,white,nonhispanic,F,Jacksonville  Florida  US,1061 Considine Way Unit 2,Tampa,Florida,Hillsborough County,12057,33618,28.0429680381183,-82.59505652125017,5011.41,67590.62,15315,TAMPA
1229742,2010-04-27,,999-74-6292,,,,Gregory,,Zieme,,,,white,nonhispanic,M,Orlando  Florida  US,1004 Okuneva Divide Unit 69,Tampa,Florida,Hillsborough County,12057,33603,27.890342318531207,-82.35769874236175,46366.59,8166.96,39127,TAMPA
1229743,1999-11-14,,999-58-1925,S99939379,X34306453X,Ms.,Keturah,Alease,Casper,,,,black,nonhispanic,F,Sunrise  Florida  US,412 Windler Quay Apt 22,Tampa,Florida,Hillsborough County,12057,33609,27.9778549074932,-82.53552435389547,490870.08,131948.67,572,TAMPA
1229744,1918-12-14,2002-11-11,999-98-4606,S99940978,X65884336X,Mr.,Forest,Timmy,Herzog,,,M,black,hispanic,M,Lakeside  Florida  US,663 Schiller Meadow,Tampa,Florida,Hillsborough County,12057,33610,28.011389555665314,-82.33518700327073,1222760.78,992115.09,51430,TAMPA
1229745,2011-02-07,,999-64-9335,,,,Jina,,Beahan,,,,white,nonhispanic,F,Wekiwa Springs  Florida  US,457 Kertzmann Extension Suite 16,Tampa,Florida,Hillsborough County,12057,33635,27.919878534266008,-82.46246171728254,3350.0,66840.02,2528,TAMPA
1229746,1984-04-08,,999-26-7128,S99917489,X30938628X,Mrs.,Candida,,Crona,,Funk,D,white,nonhispanic,F,Miami  Florida  US,937 Torp Parade Unit 74,Tampa,Florida,Hillsborough County,12057,33614,27.962824027493557,-82.55897358869754,300576.4,827676.3,24606,TAMPA
1229747,1948-06-10,2007-01-31,999-20-8499,S99929714,X40786240X,Mr.,Everette,Owen,Orn,,,D,asian,hispanic,M,Miami Beach  Florida  US,715 Hane Trail Suite 8,Tampa,Florida,Hillsborough County,12057,33604,27.90613969877336,-82.40578324678583,80650.74,770946.23,613620,TAMPA
1229748,1988-08-13,,999-37-4253,S99932478,X30991394X,Mr.,Teodoro,Hugo,Alfaro,,,M,white,hispanic,M,Marigot  Saint Andrew Parish  DM,1064 Kuhic Forge Apt 43,Tampa,Florida,Hillsborough County,12057,33621,27.949082896445894,-82.40690482282379,22252.77,144855.76,19100,TAMPA
1229749,1972-01-31,,999-48-2677,S99934205,X53138478X,Mr.,Domenic,Gino,Jacobi,,,M,white,nonhispanic,M,Leisure City  Florida  US,307 Sipes Lane,Tampa,Florida,Hillsborough County,12057,33604,27.87813337405531,-82.48695675216229,70256.63,560780.98,15330,TAMPA
1229750,1949-02-18,,999-64-3748,S99951286,X2553637X,Mr.,Mateo,,Vera,,,S,white,hispanic,M,Mexico City  Mexico City  MX,1025 Hermiston Park Suite 29,Tampa,Florida,Hillsborough County,12057,33612,27.975690972499237,-82.49313620690351,223567.39,183820.23,183111,TAMPA
1229751,1964-12-19,,999-43-6329,S99949411,X28810736X,Ms.,Cary,Candelaria,Romaguera,,,S,white,nonhispanic,F,Bradenton  Florida  US,718 Rempel Center,Tampa,Florida,Hillsborough County,12057,33610,27.95021761473261,-82.43450227456435,116306.93,379797.1,15315,TAMPA
1229752,1960-12-21,,999-29-4167,S99966857,X14940595X,Mr.,Benito,Gregg,Zboncak,,,D,white,nonhispanic,M,Pompano Beach  Florida  US,312 Kilback Walk Unit 41,Tampa,Florida,Hillsborough County,12057,33647,27.964431201262666,-82.49047913562508,165336.3,492838.82,24544,TAMPA
1229753,1976-09-13,,999-56-4533,S99972855,X28958687X,Mr.,Jimmie,Don,Gislason,,,M,white,hispanic,M,Panama City  Florida  US,674 Spencer Street Apt 76,Tampa,Florida,Hillsborough County,12057,33604,28.0335009746674,-82.36981234897992,251054.27,89158.15,119359,TAMPA
1229754,2009-05-04,,999-79-4779,,,,Carolynn,Jewell,Schowalter,,,,white,nonhispanic,F,Azalea Park  Florida  US,535 Jenkins View,Tampa,Florida,Hillsborough County,12057,33619,27.88570921060012,-82.52472997172002,71794.28,23460.07,119629,TAMPA
1229755,2003-11-02,,999-45-2853,S99911085,X41675299X,Ms.,Larue,Thresa,O'Kon,,,,white,nonhispanic,F,Kendall  Florida  US,193 Fisher Annex Suite 34,Tampa,Florida,Hillsborough County,12057,33606,28.08475268306707,-82.42016197291882,184567.72,67011.43,57426,TAMPA
1229756,1955-11-29,,999-61-8362,S99977555,X60086605X,Mr.,Eloy,Maynard,Sawayn,,,M,black,nonhispanic,M,Bradenton  Florida  US,341 Boyer Ville Suite 68,Tampa,Florida,Hillsborough County,12057,33620,27.972481770019886,-82.37951695865891,253978.22,280151.99,126221,TAMPA
1229757,1978-01-04,,999-73-3167,S99959165,X9621669X,Mr.,Steve,Royce,Aufderhar,,,S,asian,nonhispanic,M,Cantho  Cần Thơ  VN,256 Larkin Bridge Suite 42,Tampa,Florida,Hillsborough County,12057,33629,27.8224642985433,-82.54630394872031,263380.95,1401175.45,191399,TAMPA
1229758,2014-09-29,,999-21-6134,,,,Clifford,,Wehner,,,,black,nonhispanic,M,Bellview  Florida  US,781 Armstrong Row,Tampa,Florida,Hillsborough County,12057,33609,28.001577934942357,-82.32749540658523,38416.31,8243.54,95949,TAMPA
1229759,1986-12-21,,999-41-4738,S99910955,X44077120X,Mrs.,Norma,,Ybarra,,Munguía,W,white,hispanic,F,Santo Domingo  National District  DO,376 Baumbach Union Unit 4,Tampa,Florida,Hillsborough County,12057,33609,28.023757875326478,-82.40948924487734,284652.52,734403.96,15257,TAMPA
1229760,2003-03-17,,999-82-7634,S99971335,X50157914X,Ms.,Nevada,Leonore,Kozey,,,,white,nonhispanic,F,Fort Lauderdale  Florida  US,486 Kohler Quay,Tampa,Florida,Hillsborough County,12057,33606,28.120415794621234,-82.45943131792173,47256.97,135401.65,8581,TAMPA
1229761,2020-05-21,,999-59-2560,,,,Caridad,Maricarmen,Zúñiga,,,,white,hispanic,F,Bayamon  Puerto Rico  PR,446 Kuhic Junction Suite 78,Tampa,Florida,Hillsborough County,12057,33604,28.042669758028634,-82.39657991163351,9861.31,19980.37,127935,TAMPA
1229762,1985-02-11,2016-05-12,999-19-4998,S99910442,X58343612X,Mrs.,María,María Cristina,Melgar,,Robledo,M,white,hispanic,F,Wesley  Saint Andrew Parish  DM,127 Halvorson Mission,Tampa,Florida,Hillsborough County,12057,33614,27.886646206878055,-82.42817947964285,474691.2,400276.19,108961,TAMPA
1229763,1948-06-10,2007-03-05,999-50-1432,S99941281,X43999837X,Mr.,Evan,Rob,Reilly,,,M,asian,hispanic,M,Jacksonville  Florida  US,885 Bosco Passage Unit 78,Tampa,Florida,Hillsborough County,12057,33604,28.055901847768514,-82.62839038826176,93812.22,168544.36,613620,TAMPA
1229764,1987-06-07,,999-65-4220,S99933015,X84591132X,Mr.,Ronnie,Hugh,Quigley,,,M,white,nonhispanic,M,Riverview  Florida  US,180 Mills Path,Tampa,Florida,Hillsborough County,12057,33610,28.001931609468148,-82.62309417734475,80847.61,89019.94,135229,TAMPA
1229765,1971-02-07,,999-69-9904,S99936000,X13347217X,Mr.,Kurt,Abram,Blanda,,,M,white,nonhispanic,M,Plantation  Florida  US,639 Cole Fork Suite 35,Tampa,Florida,Hillsborough County,12057,33619,27.910228492410614,-82.50056546115842,27518.51,147247.72,11837,TAMPA
1229766,1973-06-05,2016-01-14,999-62-9003,S99933501,X88979072X,Ms.,Mariel,Lyndsey,Daugherty,,,S,black,hispanic,F,Titusville  Florida  US,393 Prosacco Terrace,Tampa,Florida,Hillsborough County,12057,33612,27.986761392509262,-82.52661181337285,504904.04,534449.33,67563,TAMPA
1229767,1959-04-23,,999-97-1442,S99966824,X15556835X,Mrs.,Kina,Audrey,Volkman,,Kuphal,D,white,nonhispanic,F,Dunedin  Florida  US,691 Wilderman Light Apt 41,Tampa,Florida,Hillsborough County,12057,33637,28.035761382103466,-82.41883258960856,740893.93,94085.12,97369,TAMPA
1229768,1986-12-10,,999-34-1470,S99951017,X24571739X,Mrs.,Gussie,Lilliam,Ward,,Eichmann,M,black,nonhispanic,F,Alafaya  Florida  US,788 Halvorson Grove,Tampa,Florida,Hillsborough County,12057,33621,28.036315273188126,-82.33400245944947,408471.69,509370.35,65914,TAMPA
1229769,1960-02-18,,999-31-5100,S99931724,X46035015X,Mr.,Cory,Samuel,Kub,PhD,,W,white,hispanic,M,West Palm Beach  Florida  US,825 Konopelski Fort,Tampa,Florida,Hillsborough County,12057,33614,27.96911367615326,-82.4044053383959,428926.92,278752.13,277093,TAMPA
1229770,1985-02-11,,999-43-1363,S99934440,X66548077X,Mrs.,Emilia,Mayte,Parra,,Juárez,M,white,hispanic,F,Port-au-Prince  Haiti  HT,944 Von Center,Tampa,Florida,Hillsborough County,12057,33609,28.05390838761311,-82.3479683755982,365185.67,382117.3,108961,TAMPA
1229771,1987-08-08,,999-75-9909,S99992646,X42965899X,Mrs.,Enid,,Adams,,Kilback,D,white,nonhispanic,F,Lehigh Acres  Florida  US,309 Emmerich Bypass,Tampa,Florida,Hillsborough County,12057,33610,27.899182665503098,-82.5467767560104,226799.86,1423149.76,19041,TAMPA
1229772,1962-08-09,,999-21-8473,S99916658,X56237080X,Mr.,Sergio,,Fadel,,,M,white,nonhispanic,M,Palm Harbor  Florida  US,335 Sipes Viaduct,Tampa,Florida,Hillsborough County,12057,33619,27.933124607332108,-82.3427926458377,209810.88,170977.12,41351,TAMPA
1229773,1918-12-14,1998-04-11,999-65-8723,S99920889,X30139542X,Mr.,Neil,Weldon,Prohaska,,,D,black,hispanic,M,Tequesta  Florida  US,1002 Labadie Boulevard,Tampa,Florida,Hillsborough County,12057,33616,28.029095817386686,-82.50596818506587,940098.27,751147.77,51430,TAMPA
1229774,2023-06-06,,999-72-7329,,,,Thad,Hans,Williamson,,,,white,nonhispanic,M,Tavares  Florida  US,1080 Jacobi Crossroad,Tampa,Florida,Hillsborough County,12057,33612,28.05015686617509,-82.58671684670452,7038.17,150.82,125025,TAMPA
1229775,1985-10-28,,999-45-5670,S99962954,X30373302X,Mrs.,Kimbery,Cyrstal,Block,,Hand,M,white,nonhispanic,F,Tallahassee  Florida  US,580 Emard Annex,Tampa,Florida,Hillsborough County,12057,33647,27.99551028472467,-82.32659345184416,206245.88,145133.38,94877,TAMPA
1229776,1983-09-01,,999-58-9284,S99935967,X62589985X,Mr.,Antonio,Adán,Mireles,,,M,white,hispanic,M,Marigot  Saint Andrew Parish  DM,794 Schoen Ferry,Tampa,Florida,Hillsborough County,12057,33635,27.930637122453213,-82.47565897566776,123614.31,92322.54,155159,TAMPA
1229777,1987-01-04,,999-29-6361,S99935824,X51949624X,Mr.,Barrett,,Upton,,,S,black,nonhispanic,M,Palm Bay  Florida  US,595 Legros Road Suite 62,Tampa,Florida,Hillsborough County,12057,33620,28.086445829646333,-82.49179265346115,168507.7,18393.56,97548,TAMPA
1229778,1948-06-10,,999-59-3980,S99959831,X67939492X,Mr.,Jae,,Cassin,,,W,asian,hispanic,M,Homestead  Florida  US,924 Ruecker Vale,Tampa,Florida,Hillsborough County,12057,33620,27.977686104389434,-82.46178304149001,130957.29,382668.91,613620,TAMPA
1229779,2015-05-12,,999-31-2218,,,,Vernon,Mana,Bogisich,,,,white,nonhispanic,F,Princeton  Florida  US,227 Schroeder Underpass Suite 82,Tampa,Florida,Hillsborough County,12057,33617,28.01038795936368,-82.33145021819331,31123.06,11402.8,75650,TAMPA
1229780,1972-02-10,,999-33-2581,S99953624,X10669090X,Mrs.,Gisela,Dona,Stark,,Crona,M,white,nonhispanic,F,Jacksonville  Florida  US,562 Parisian Trace Apt 39,Tampa,Florida,Hillsborough County,12057,33621,28.052788650634156,-82.53267340352005,351602.85,598965.33,776742,TAMPA
1229781,1970-08-12,,999-49-5905,S99948243,X43668223X,Mr.,Buddy,,Fisher,,,M,white,nonhispanic,M,Fruit Cove  Florida  US,666 Walsh Bay,Tampa,Florida,Hillsborough County,12057,33609,28.016104701551207,-82.5888208918235,199866.32,64086.77,147810,TAMPA
1229782,1995-10-29,,999-48-5197,S99976267,X44341522X,Ms.,Pinkie,Luann,Wolff,,,S,black,nonhispanic,F,Port St. Lucie  Florida  US,829 Buckridge Row Suite 70,Tampa,Florida,Hillsborough County,12057,33603,28.06112348055162,-82.4893569893014,138641.36,1121915.02,38285,TAMPA
1229783,2012-12-08,,999-25-8853,,,,Pamula,Kanisha,Kihn,,,,white,hispanic,F,Pine Air  Florida  US,1097 Bradtke Grove Apt 29,Tampa,Florida,Hillsborough County,12057,33615,28.01188243184291,-82.47171352031914,2100.0,37220.66,20117,TAMPA
